Symbol,Name,Sector,Industry
060310,3S,INDUSTRIAL,반도체 웨이퍼 캐리어
095570,AJ네트웍스,INDUSTRIAL,"렌탈(파렛트, OA장비, 건설장비)"
006840,AK홀딩스,FINANCIAL,지주사업
054620,APS홀딩스,FINANCIAL,인터넷 트래픽 솔루션
265520,AP시스템,INDUSTRIAL,디스플레이 제조 장비
211270,AP위성,COMMUNICATION,위성통신 단말기
027410,BGF,FINANCIAL,지주회사
282330,BGF리테일,CD,체인화 편의점
138930,BNK금융지주,FINANCIAL,금융지주회사
001460,BYC,OTHER,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
001040,CJ,FINANCIAL,지주회사
079160,CJ CGV,CD,"영화상영,영화관 운영"
035760,CJ ENM,COMMUNICATION,"의류, 생활주방, 가전제품, 보석, 기타"
000120,CJ대한통운,INDUSTRIAL,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
011150,CJ씨푸드,CS,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입"
097950,CJ제일제당,CS,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
051500,CJ프레시웨이,CS,"식자재유통, 단체급식"
058820,CMG제약,HEALTH,의약품
023460,CNH,FINANCIAL,투자자문
065770,CS,COMMUNICATION,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
083660,CSA 코스믹,MATERIALS,"물탱크,상하수도용도류벽,축산탱크"
000590,CS홀딩스,FINANCIAL,"브랜드 수익, 자회사 배당"
012030,DB,IT,"컴퓨터 프로그래밍, 시스템 통합 및 관리"
367340,DB금융스팩8호,FINANCIAL,기업인수 및 합병
016610,DB금융투자,FINANCIAL,"유가증권,위탁매매,인수,자기매매"
005830,DB손해보험,FINANCIAL,"자동차보험,화재보험,해상보험,특종보험,장기보험"
000990,DB하이텍,IT,반도체 제조
139130,DGB금융지주,FINANCIAL,지주회사
001530,DI동일,OTHER,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출"
068790,DMS,INDUSTRIAL,LCD 제조장비
004840,DRB동일,FINANCIAL,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매"
241520,DSC인베스트먼트,FINANCIAL,투자조합 결성 및 투자
155660,DSR,MATERIALS,합섬섬유로프
069730,DSR제강,MATERIALS,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조"
017940,E1,OTHER,"LPG(프로판,부탄가스),가스기기판매"
