Symbol,Name,Industry,Sector
AAPL,Apple Inc,전화 및 소형 장치,COMMUNICATION
MSFT,Microsoft Corp,소프트웨어,IT
NVDA,NVIDIA Corp,반도체,IT
AMZN,Amazon.com Inc,백화점,CD
META,Meta Platforms Inc,온라인 서비스,IT
GOOGL,Alphabet Inc Class A,온라인 서비스,IT
GOOG,Alphabet Inc Class C,온라인 서비스,IT
AVGO,Broadcom Inc,반도체,IT
TSLA,Tesla Inc,자동차 및 트럭 제조,INDUSTRIAL
COST,Costco Wholesale Corp,할인점,CD
ASML,ASML Holding NV ADR,반도체 장비 및 테스트,IT
NFLX,Netflix Inc,온라인 서비스,IT
AZN,AstraZeneca PLC ADR,제약,HEALTH
PEP,PepsiCo Inc,무알콜 음료,CD
ADBE,Adobe Inc,소프트웨어,IT
TMUS,T-Mobile US Inc,무선 통신 서비스,COMMUNICATION
LIN,Linde PLC,상품 화학,MATERIALS
AMD,Advanced Micro Devices Inc,반도체,IT
PDD,PDD Holdings Inc ADR,온라인 서비스,IT
CSCO,Cisco Systems Inc,통신 및 네트워킹,COMMUNICATION
QCOM,Qualcomm Inc,반도체,IT
INTU,Intuit Inc,핀테크,FINANCIAL
TXN,Texas Instruments Inc,반도체,IT
AMGN,Amgen Inc,제약,HEALTH
ISRG,Intuitive Surgical Inc,첨단 의료 장비 및 기술,HEALTH
CMCSA,Comcast Corp,무선 통신 서비스,COMMUNICATION
AMAT,Applied Materials Inc,반도체 장비 및 테스트,IT
SNY,Sanofi SA ADR,제약,HEALTH
HON,Honeywell International Inc,소비재 대기업,CD
VRTX,Vertex Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
REGN,Regeneron Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
ARM,Arm Holdings PLC ADR,반도체,IT
BKNG,Booking Holdings Inc,여가 및 오락시설,CD
ADP,Automatic Data Processing Inc,IT 서비스 및 컨설팅,IT
ADI,Analog Devices Inc,반도체,IT
PANW,Palo Alto Networks Inc,소프트웨어,IT
LRCX,Lam Research Corp,반도체 장비 및 테스트,IT
MU,Micron Technology Inc,반도체,IT
MELI,MercadoLibre Inc,온라인 서비스,IT
KLAC,KLA Corp,반도체 장비 및 테스트,IT
MDLZ,Mondelez International Inc,식품 가공,CD
GILD,Gilead Sciences Inc,제약,HEALTH
SBUX,Starbucks Corp,레스토랑 및 바,CD
INTC,Intel Corp,반도체,IT
SNPS,Synopsys Inc,소프트웨어,IT
CTAS,Cintas Corp,경영 지원 서비스,CS
EQIX,Equinix Inc,특수 REITs,REAL_ESTATE
CME,CME Group Inc,"금융, 상품 시장 운영 및 서비스 제공",FINANCIAL
ABNB,Airbnb Inc,온라인 서비스,IT
CDNS,Cadence Design Systems Inc,소프트웨어,IT
CSX,CSX Corp,지상 화물 및 물류,INDUSTRIAL
ORLY,O'Reilly Automotive Inc,"자동차 차량, 부품 및 서비스 소매",CD
PYPL,PayPal Holdings Inc,경영 지원 서비스,CS
MAR,Marriott International Inc,"호텔, 모텔 및 크루즈 라인",CD
NXPI,NXP Semiconductors NV,반도체,IT
NTES,NetEase Inc ADR,온라인 서비스,IT
CEG,Constellation Energy Corp,전력 유틸리티,UTILITY
CRWD,CrowdStrike Holdings Inc,IT 서비스 및 컨설팅,IT
WDAY,Workday Inc,소프트웨어,IT
ROP,Roper Technologies Inc,소프트웨어,IT
FTNT,Fortinet Inc,소프트웨어,IT
AEP,American Electric Power Company Inc,전력 유틸리티,UTILITY
MNST,Monster Beverage Corp,무알콜 음료,CD
CHTR,Charter Communications Inc,통합 통신 서비스,COMMUNICATION
ADSK,Autodesk Inc,소프트웨어,IT
DASH,DoorDash Inc,온라인 서비스,IT
MRVL,Marvell Technology Inc,반도체,IT
PCAR,Paccar Inc,중장비 및 차량,INDUSTRIAL
IBKR,Interactive Brokers Group Inc,투자 은행 및 중개 서비스,FINANCIAL
CPRT,Copart Inc,온라인 서비스,IT
KDP,Keurig Dr Pepper Inc,무알콜 음료,CD
ROST,Ross Stores Inc,의류 및 액세서리 소매,CD
COIN,Coinbase Global Inc,블록 체인 및 암호화폐,FINANCIAL
PAYX,Paychex Inc,고용 서비스,CS
KHC,Kraft Heinz Co,식품 가공,CD
TTD,Trade Desk Inc,소프트웨어,IT
ODFL,Old Dominion Freight Line Inc,지상 화물 및 물류,INDUSTRIAL
JD,JD.Com Inc ADR,백화점,CD
MCHP,Microchip Technology Inc,반도체,IT
NDAQ,Nasdaq Inc,"금융, 상품 시장 운영 및 서비스 제공",FINANCIAL
IDXX,IDEXX Laboratories Inc,"의료 장비, 물품 및 유통",HEALTH
EA,Electronic Arts Inc,소프트웨어,IT
EXC,Exelon Corp,전력 유틸리티,UTILITY
FAST,Fastenal Co,산업용 기계 및 장비,INDUSTRIAL
VRSK,Verisk Analytics Inc,IT 서비스 및 컨설팅,IT
MPWR,Monolithic Power Systems Inc,반도체,IT
ACGL,Arch Capital Group Ltd,손해보험,FINANCIAL
CTSH,Cognizant Technology Solutions Corp,IT 서비스 및 컨설팅,IT
GEHC,GE Healthcare Technologies Inc,첨단 의료 장비 및 기술,HEALTH
DDOG,Datadog Inc,소프트웨어,IT
TEAM,Atlassian Corp,소프트웨어,IT
FANG,Diamondback Energy Inc,"오일, 가스 탐사 및 생산",ENERGY
BKR,Baker Hughes Co,오일 관련 서비스 및 장비,ENERGY
CCEP,Coca-Cola Europacific Partners PLC,무알콜 음료,CD
ALNY,Alnylam Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
XEL,Xcel Energy Inc,전력 유틸리티,UTILITY
MRNA,Moderna Inc,생명 공학 및 의학 연구,HEALTH
CSGP,CoStar Group Inc,온라인 서비스,IT
ARGX,argenx SE ADR,생명 공학 및 의학 연구,HEALTH
FER,Ferrovial SE,건설 및 엔지니어링,INDUSTRIAL
BIIB,Biogen Inc,제약,HEALTH
SMCI,Super Micro Computer Inc,컴퓨터 하드웨어,IT
BIDU,Baidu Inc ADR,온라인 서비스,IT
ON,ON Semiconductor Corp,반도체,IT
LULU,Lululemon Athletica Inc,의류 및 액세서리,CD
WTW,Willis Towers Watson PLC,복합보험 및 중개인,FINANCIAL
CDW,CDW Corp,통합 하드웨어 및 소프트웨어,IT
FCNCA,First Citizens BancShares Inc (Delaware),은행,FINANCIAL
DXCM,Dexcom Inc,"의료 장비, 물품 및 유통",HEALTH
TSCO,Tractor Supply Co,기타 전문 소매,CD
EBAY,eBay Inc,온라인 서비스,IT
TCOM,Trip.com Group Ltd ADR,여가 및 오락시설,CD
FITB,Fifth Third Bancorp,은행,FINANCIAL
ANSS,ANSYS Inc,소프트웨어,IT
ICLR,ICON PLC,생명 공학 및 의학 연구,HEALTH
ZS,Zscaler Inc,소프트웨어,IT
MSTR,Microstrategy Inc,소프트웨어,IT
NTAP,NetApp Inc,컴퓨터 하드웨어,IT
TTWO,Take-Two Interactive Software Inc,소프트웨어,IT
GFS,GlobalFoundries Inc,반도체 장비 및 테스트,IT
AXON,Axon Enterprise Inc,항공우주 및 방위,INDUSTRIAL
VOD,Vodafone Group PLC ADR,무선 통신 서비스,COMMUNICATION
TW,Tradeweb Markets Inc,"금융, 상품 시장 운영 및 서비스 제공",FINANCIAL
SBAC,SBA Communications Corp,특수 REITs,REAL_ESTATE
ERIE,Erie Indemnity Co,손해보험,FINANCIAL
TROW,T Rowe Price Group Inc,투자 관리 및 펀드 운영,FINANCIAL
KSPI,Kaspi.kz AO ADR,핀테크,FINANCIAL
FSLR,First Solar Inc,재생 가능 에너지 장비 및 서비스,ENERGY
APP,Applovin Corp,소프트웨어,IT
RYAAY,Ryanair Holdings PLC ADR,항공사,INDUSTRIAL
DLTR,Dollar Tree Inc,할인점,CD
LI,Li Auto Inc ADR,자동차 및 트럭 제조,INDUSTRIAL
ERIC,Telefonaktiebolaget LM Ericsson ADR,통신 및 네트워킹,COMMUNICATION
CHKP,Check Point Software Technologies Ltd,소프트웨어,IT
PTC,PTC Inc,소프트웨어,IT
CINF,Cincinnati Financial Corp,손해보험,FINANCIAL
LINE,Lineage Inc,특수 REITs,REAL_ESTATE
STX,Seagate Technology Holdings PLC,컴퓨터 하드웨어,IT
ILMN,Illumina Inc,첨단 의료 장비 및 기술,HEALTH
HBAN,Huntington Bancshares Inc,은행,FINANCIAL
HOLX,Hologic Inc,첨단 의료 장비 및 기술,HEALTH
WBD,Warner Bros Discovery Inc,방송,COMMUNICATION
